Site,Date,Sample.type,Acetochlor,Amitraz,Anthraquinone,Bentazone,Bifenthrin,Butachlor,Carbendazim,Chlorpyrifos,Cyhalothrin,Difenoconazole,Etoxazole,Fenhexamid,Fenpropathrin,Hexazinone,Imidacloprid,Lufenuron,Paclobutrazol,Propargite,Pyraclostrobin,Pyridaben,Spirodiclofen,Thiamethoxam
s1,11-Jun,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s1,12-May,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s1,16-Jul,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038,0,0,0,0
s1,17-Jun,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s1,19-May,Solitary.bee.pollen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s1,19-May,Solitary.bee.soil,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1166,0,0,0,0,0,0,0,0
s1,25-Jul,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0039,0,0,0,0
s1,27-Jun,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s1,27-May,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s1,6-Jul,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0052,0,0,0,0
s10,11-Jun,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s10,12-May,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s10,16-Jul,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0
s10,17-Jun,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s10,19-May,Solitary.bee.pollen,0.014,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0
s10,19-May,Solitary.bee.soil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s10,25-Jul,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s10,27-Jun,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105,0,0,0,0
s10,27-May,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s10,4-Aug,Honeybee.forager,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0.0082,0,0,0,0
s10,4-Aug,Honeybee.pollen,0,0.0035,0,0,0,0,0.0127,0.0114,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s10,6-Jul,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s11,11-Jun,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s11,12-May,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s11,16-Jul,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s11,17-Jun,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s11,19-May,Solitary.bee.pollen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s11,19-May,Solitary.bee.soil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s11,27-Jun,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s11,27-May,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0046,0,0,0,0
s11,6-Jul,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s12,11-Jun,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s12,12-May,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s12,16-Jul,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s12,17-Jun,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s12,19-May,Solitary.bee.pollen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s12,19-May,Solitary.bee.soil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s12,25-Jul,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s12,27-Jun,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s12,27-May,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s12,4-Aug,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s12,4-Aug,Honeybee.pollen,0,0.0102,0,0,0,0,0.0085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s12,6-Jul,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0043,0,0,0,0
s13,11-Jun,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s13,12-May,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s13,16-Jul,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s13,17-Jun,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s13,19-May,Solitary.bee.pollen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s13,19-May,Solitary.bee.soil,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1174,0,0,0,0,0,0,0,0
s13,25-Jul,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0051,0,0,0,0
s13,27-Jun,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s13,27-May,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s13,4-Aug,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0035,0,0,0,0
s13,4-Aug,Honeybee.pollen,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s13,6-Jul,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0
s14,11-Jun,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s14,12-May,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s14,16-Jul,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s14,17-Jun,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s14,19-May,Solitary.bee.pollen,0,0,0,0,0,0,0,0,0,0.1249,0,0,0,0,0,0,0,0,0.0469,0,0.1101,0.0035
s14,19-May,Solitary.bee.soil,0,0,0,0,0,0,0.2341,0,0,0.026,0,0,0,0,0,0.0144,0,0,0.0129,0,0,0
s14,25-Jul,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s14,27-Jun,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0036,0,0,0,0
s14,27-May,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s14,4-Aug,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0047,0,0,0,0
s14,4-Aug,Honeybee.pollen,0,0,0.006,0,0,0,0.0103,0.0319,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0
s14,6-Jul,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s15,11-Jun,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s15,12-May,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s15,17-Jun,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s15,19-May,Solitary.bee.pollen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s15,19-May,Solitary.bee.soil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s15,27-May,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s16,11-Jun,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s16,12-May,Honeybee.forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
