Site,Rice200,Rice600,Rice1000,SNH200,SNH600,SNH1000,SNH1000_2,Rare,Hff,Hfq,Hpf,Hpp,Mnf,Mnp,Mpf,Mpp,Osmiaper,Osmiato,Osmiatu
s1,0.18,0.36,0.44,0.29,0.18,0.12,0.14,7.8,0.375,1.47,NA,NA,1,0.001,0,0,2.61,167,64
s2,0.55,0.6,0.61,0,0.06,0.09,0.12,11.3,2.5,1.65,3,0.051,0,0,0,0,2.6,109,42
s3,0.63,0.67,0.64,0,0.14,0.13,0.1,5,0.333,1.26,2,0,NA,NA,NA,NA,NA,NA,NA
s4,0.84,0.65,0.6,0,0.03,0.02,0.04,9.6,0.444,5.31,4,1.671,0,0,1,0,2.62,102,39
s5,0.97,0.81,0.85,0.03,0.07,0.05,0.21,11.3,0.444,1.83,4,0.042,2,2.185,0,0,2.7,127,47
s6,0.84,0.79,0.58,0,0.06,0.09,0.15,8.4,0.556,1.96,4,0.034,1,1.741,0,0,3.09,133,43
s7,0.75,0.21,0.13,0.11,0.59,0.62,0.73,8.6,0.889,2.49,NA,NA,0,0,0,0,3.12,403,129
s8,0.72,0.79,0.58,0.03,0.06,0.12,0.29,12.3,0.222,1.1,4,0.028,1,0,0,0,2.57,95,37
s9,0.53,0.33,0.35,0.33,0.38,0.33,0.45,15.6,NA,NA,NA,NA,0,0,1,0.013,2.97,353,119
s10,0.86,0.56,0.38,0.11,0.3,0.34,0.49,11.3,0.444,6.91,3,0.032,0,0,2,0.1,2.65,209,79
s11,0.64,0.51,0.49,0.21,0.31,0.33,0.47,10.6,0.143,0.86,NA,NA,0,0,0,0,3.15,299,95
s12,0.4,0.64,0.43,0.03,0.08,0.16,0.28,6,0.111,1.02,2,0,0,0,0,0,2.65,143,54
s13,0.46,0.35,0.31,0.23,0.4,0.37,0.37,11.5,0.333,1.37,1,0,1,0.001,0,0,3.06,312,102
s14,0.53,0.29,0.11,0.22,0.42,0.46,0.54,14.3,0.222,1.07,4,0.091,4,0.001,4,0.701,2.81,208,74
s15,0.58,0.41,0.25,0.14,0.31,0.43,0.64,9.2,0,0,NA,NA,0,0,0,0,3.29,168,51
s16,0.77,0.48,0.5,0.03,0.24,0.22,0.46,9.7,0.333,1.25,NA,NA,0,0,2,0.005,2.4,120,50
s17,0.3,0.25,0.22,0.21,0.41,0.51,0.69,15.8,0.111,0.59,1,0,0,0,0,0,3.03,309,102
s18,0.31,0.24,0.14,0.61,0.67,0.67,0.71,14,0.222,1.3,3,0.057,5,8.113,0,0,2.94,306,104
s19,0.31,0.27,0.38,0.28,0.29,0.16,0.13,11.7,0.111,1.18,2,0.071,1,0.002,0,0,2.87,175,61
s20,0.78,0.8,0.53,0.12,0.11,0.25,0.36,10.8,0.333,1.62,4,0.043,0,0,0,0,2.98,155,52
